Encrypted_Text,Cipher_Type
"Nlqj. Zkdw eorrgb pdq lv wkdw? kh fdq uhsruw,",Caesar
"Ayxc. Mxkp lheyzo iqx yc jrwj? xo skj bafynj,",Vigenère
EKYQVYRSCSAVRHCNRASXPDRSCFBMAMFLNMSZ,Playfair
"K.alyn tenp,ig htbod a sta?h a eotnW omih crr",Rail Fence
"Gwvm. Oriz nlaaxy qiv wu zriz? rc siv pcfapz,",Affine
"Dv vhhphwk eb klv soljkw, ri wkh Uhxrow",Caesar
"Qi ouoiudd lu rei lbscxd, yb ddu Huekbd",Vigenère
BXLILCKLYDBYSXQPKIDPHPPDKMLMMPSZ,Playfair
"Aetysi,  osseehb i lgt fteRul m hphohet",Rail Fence
"Iu uccqczr ny rwu flwmrz, ah zrc Pcealz",Affine
Wkh qhzhvw vwdwh,Caesar
Jxo dosucp cpqda,Vigenère
PDGMGUILLTSRLK,Playfair
Tnsth eetsaeew t,Rail Fence
Zrc vcocuz uzizc,Affine
"Pdo. Wklv lv wkh Vhulhdqw,",Caesar
"Cqv. Xdyc yc jra Wahsaqxp,",Vigenère
ORPLBFXSTLCFLIAKIMRQ,Playfair
"M s  ita.Ti steSren,lhihea",Rail Fence
"Qil. Zrwu wu zrc Ucpwcivz,",Affine
Zkr olnh d jrrg dqg kduglh Vrxoglhu irxjkw,Caesar
Mxy bsgu w qken qxz rwhneu Ieehtsah beecxd,Vigenère
VYMPKEIMFNRHRACYRMBKILMVTCKFOKMVFYSZ,Playfair
Wl oahioifhh ieago n adeSude ogtok ddr lru,Rail Fence
Ora lwgc i maax ivx ripxwc Uaelxwcp haemrz,Affine
'Jdlqvw pb Fdswlxlwlh: Kdloh eudxh iulhqg;,Caesar
'Qkedcp wu Gwfdekspyo: Lwyva lnqea pnyojt;,Vigenère
INGATLNCBMQLEXKSKFBOESICMRMLKOKFRY,Playfair
'nmauea urdGis yCpiii:Hiebaefin;at tt lr e,Rail Fence
'Miwvuz qy Sifzwewzwc: Riwlc npiec hpwcvx;,Affine
"Vdb wr wkh Nlqj, wkh nqrzohgjh ri wkh Eurboh,",Caesar
"Iqi jy jra Oedq, ddu gdysbozwo ep jra Fneihu,",Vigenère
XBDQRPCFEKYQPDFEANUQKCIFHPPDICMNCQIU,Playfair
"Sthi  wgfeo,a oteKn,tekoldeo h ryey  ghne tBl",Rail Fence
"Uiy za zrc Gwvm, zrc gvaolcxmc ah zrc Npaylc,",Affine
Dv wkrx glgvw ohdxh lw,Caesar
Qi pxyq netcp vaqea sp,Vigenère
BXPDMVBKBTLPIMMLKS,Playfair
Ahdtaisto is eu t udle,Rail Fence
Iu zrae xwxuz lciec wz,Affine
"Fds. Grxewixoo lw vwrrg,",Caesar
"Sqz. Hkklpvehb ej ojykt,",Vigenère
BMTHMVDSEVSUSELTPRRH,Playfair
"C bltoa.Dutuli to,pof sd",Rail Fence
"Sif. Xaenzhell wz uzaax,",Affine
"Dv wzr vshqw Vzlpphuv, wkdw grh folqj wrjhwkhu,",Caesar
"Qi pmy izadd Cgecwahc, ddqd tya mhyxc dkwopxon,",Vigenère
BXQZAPLFRQQXEACLATPDRSHRLESEYQPRIFPDKM,Playfair
"Awp mshdcggestosetSimr,ta o ln oehr  nwe teitt,",Rail Fence
"Iu zoa ufcvz Uowqqcpu, zriz xac slwvm zamczrcp,",Affine
Dqg fkrdnh wkhlu Duw: Wkh phuflohvvh Pdfgrqzdog,Caesar
Qdn srkqua ddusn Enj: Dra wahmebooio Wkytyjmkht,Vigenère
RACHFHRIKLCFKARMSZPDLCKMBEULXALIORHCNAXNTC,Playfair
Ackh :ere dan haeterAt h eclseMcowldo irTmisand,Rail Fence
Ivx sraigc zrcwp Ipz: Zrc qcpswlcuuc Qisxavoilx,Affine
"(Zruwklh wr eh d Uhehoo, iru wr wkdw",Caesar
"(Gynjreu pe xu w Varohb, vyn dk ddqd",Vigenère
VNDZBFKLAHIMMKCISUPENMPRPDRS,Playfair
"(t b e  tWrhet eaRbl,frt htoio elooa",Rail Fence
"(Oapzrwc za nc i Pcncll, hap za zriz",Affine
Wkh pxowlsoblqj Yloodqlhv ri Qdwxuh,Caesar
Jxo cehjslbiedq Fshbkjyoo yb Rwjenu,Vigenère
PDLCMUSKQPBGYQXFSUSMAGILHPARLZMK,Playfair
TmiiVas uh utpyn ilne fNtrellglioae,Rail Fence
Zrc qelzwflywvm Jwllivwcu ah Vizepc,Affine
Grh vzduph ysrq klp) iurp wkh Zhvwhuqh Lvohv,Caesar
Teo igwhwa flex xsi) bhyi ddu Mucpubju Yivai,Vigenère
HRILXNMOFUVHOYEAKONOPDGUILLKMAFKTPIL,Playfair
Dsmph mesnso wrevo i)fo h etreIlsea nmrtWe e,Rail Fence
Xac uoipqc jfav rwq) hpaq zrc Ocuzcpvc Wulcu,Affine
"Ri Nhuqhv dqg Jdoorzjurvvhv lv vxssob'g,",Caesar
"Ev Aubjuc qxz Kwbvkmqnecouc yc ielfvu'n,",Vigenère
HPEFMAILRAYKMSPMNQMNXALIXSXALXSVQPBC,Playfair
"OesdlgsiuyfKre n alwrse sspl', naGoos pd",Rail Fence
"Ah Gcpvcu ivx Millaompauucu wu ueffly'x,",Affine
"Dqg Iruwxqh rq klv gdpqhg Txduub vplolqj,",Caesar
"Qdn Pynjeju kd dyc tkidoz Uqqbno ocshyxc,",Vigenère
RAHKNMLZMGNABFTBROMGYTXMAZNDLAESGAIW,Playfair
"AFuoiada l,n otn nhsdme urysiigdre  nQrmn",Rail Fence
"Ivx Hapzevc av rwu xiqvcx Keippy uqwlwvm,",Affine
Vkhz'g olnh d Uhehoov Zkruh: exw doo'v wrr zhdnh:,Caesar
Ixos'n bsgu w Varohbc Grkho: lqj wbv'i pey mowao:,Vigenère
PBGUCTKEIMMKCISUPTVYNMICZLMSPTPRNVIMEF,Playfair
S'iabso  'oe:hwdlk  eel hr:btalstowaee eRlWeul  k,Rail Fence
Urco'x lwgc i Pcncllu Orapc: nez ill'u zaa ocigc:,Affine
Iru eudxh Pdfehwk (zhoo khh ghvhuxhv wkdw Qdph),Caesar
Veb rbwko Wkyropx (mohb duo tooubquc jrwj Dqwa),Vigenère
PHADMRMLORHDKLYVLUPCIUKCILKMMLTLBOQRROIU,Playfair
Fbechehdr tmo ru abt wl e eeusta aeraMe(lesehN),Rail Fence
Hap npiec Qisnczr (ocll rcc xcucpecu zriz Viqc),Affine
"Glvgdbqlqj Iruwxqh, zlwk klv eudqglvkw Vwhhoh,",Caesar
"Tyczqijyxc Jkhdqdo, gejr xso lnqxzycdj Ijoabo,",Vigenère
BKTBNBAGYQPHDZWMGUKSBVBFXIMRRYSXDPTLIULUIU,Playfair
"Danonw  nhteidyigFrue ihhsbadstSel,sn t,tiri e",Rail Fence
"Xwuxiyvwvm Hapzevc, owzr rwu npivxwurz Uzcclc,",Affine
Zklfk vprdn'g zlwk eorrgb hahfxwlrq,Caesar
Mxsyx ocywa'z gejr rvkenu otumqjskd,Vigenère
VYEBBPONRIYZKSYDPMRHCGUIEMSKNA,Playfair
Whodtlyeihc ma' ihbod xctoiskw oeun,Rail Fence
Orwsr uqaig'x owzr nlaaxy ctcsezwav,Affine
"(Olnh Ydorxuv Plqlrq) fdux'g rxw klv sdvvdjh,",Caesar
"(Vsgu Lqvkkbo Qedskd) sknk'z yqj dyc fkoikcu,",Vigenère
SEEFXOPMZMLAGAFAMYRMZCMVPDSXSOXAXBIF,Playfair
"(elsn)r   s,Lk aor iin audothspsaeiVuMoc'uiag",Rail Fence
"(Lwgc Jilaepu Qwvwav) sipe'x aez rwu fiuuimc,",Affine
Wloo khh idf'g wkh Vodxh:,Caesar
Jyvh rau bqm't pxo Cvwko:,Vigenère
SKSUPCIUFGMBKZCFTPMXIU,Playfair
T  'hl:ilhefcdteSaelea  u,Rail Fence
Zwll rcc his'x zrc Uliec:,Affine
"Zklfk qhx'u vkrrnh kdqgv, qru edg iduzhoo wr klp,",Caesar
"Mxsyx jue'h oxykao xkjtc, xkh xqn vknmohb pe dyw,",Vigenère
VYEBYOLMATFHRFFCRABTANADRBIONZLUPLHFEA,Playfair
"Whuska,rdrl ,hc e' hoehns o a awl ohminro dnbfeti",Rail Fence
"Orwsr vce'p uraagc rivxu, vap nix hipocll za rwq,",Affine
"Wloo kh yqvhdp'g klp iurp wkh Qdxh wrwk' Fkrsv,",Caesar
"Jyvh ra fjiowc'z rec bhyi ddu Dqea dkjr' Gdezo,",Vigenère
SKSUPCFUAQIMRCBFOEMNRLCFARMLPRPDHYHVXA,Playfair
"T va  meuo pilh nemdhmfo h aett'Cosles'irtN hh,",Rail Fence
"Zwll rc jvuciq'x rwq hpaq zrc Viec zazr' Srafu,",Affine
Dqg ila'g klv Khdg ysrq rxu Edwwohphqwv,Caesar
Qdn vst'n xso Laqn lzkd kkb Lkpjvacojjc,Vigenère
RAHKSACYSXCFRBOVNAMVADRSLPLCGMLT,Playfair
AfdsapoBlnn i' i edvo u ateetdxhH nrtms,Rail Fence
Ivx hwt'x rwu Rcix jfav aep Nizzlcqcvzu,Affine
"Nlqj. R ydoldqw Frxvlq, zruwkb Jhqwohpdq",Caesar
"Ayxc. E fwbswdd Myqisj, sebpxi Qojjvackj",Vigenère
EKYQHOMSSBRQHMXLGAVNDZYBIFRQULORAW,Playfair
"K.vaCiwheeig  ain osn otyGnlmnnOltu,r ta",Rail Fence
"Gwvm. A jilwivz Saeuwv, oapzry Mcvzlcqiv",Affine
"Fds. Dv zkhqfh wkh Vxqqh 'jlqv klv uhiohfwlrq,",Caesar
"Sqz. Eo gduxyu pxo Cejdo 'qedc xso bavvasdeex,",Vigenère
BMSOQXCFMYKLCFLXAWMGIKAQBFTAFGULDLFAAW,Playfair
"C wchu niecna.A hneteSne'ishsrfeto,pse  ng  li",Rail Fence
"Sif. Iu orcvsc zrc Uevvc 'mwvu rwu pchlcszwav,",Affine
"Vklszudfnlqj Vwruphv, dqg gluhixoo Wkxqghuv:",Caesar
"Ixslmbwsuedq Cdkhwai, qxz nehobkvh Xdkxzubo:",Vigenère
PBFSZNMBEKYQTLNMCLXBRYBKMKEVSUPLCVRYKMXA,Playfair
"Swk r,drlhehprcigSoms n ieulTudr:ianteadf ns",Rail Fence
"Urwfopisgwvm Uzapqcu, ivx xwpchell Zrevxcpu:",Affine
"Vr iurp wkdw Vsulqj, zkhqfh frpiruw vhhp'g wr frph,",Caesar
"Ie bhyi ddqd Cznyxc, sxojso syivynj ouoi'n jy syiu,",Vigenère
PAKONOPDRSTQAKYQVYGMELHMOENMLTIULCKZMHNOIU,Playfair
"Srt i ncos'omofo htSrn,wec ofr emdt oe mapghemte c,",Rail Fence
"Ua hpaq zriz Ufpwvm, orcvsc saqhapz uccq'x za saqc,",Affine
"Glvfrpiruw vzhoov: Pdunh Nlqj ri Vfrwodqg, pdunh,",Caesar
"Tycyewbebp csuvhi: Wknao Usjw kv Isypbkjt, cknao,",Vigenère
BKLBNOPHDZQXLUPTORDTFEGAFNIPHMLPRACRRMEF,Playfair
"Dorwsa g tda,icmotsel:MreKn fSoln,mresf l kioca k",Rail Fence
"Xwusaqhapz uocllu: Qipgc Gwvm ah Usazlivx, qipgc,",Affine
"Qr vrrqhu Lxvwlfh kdg, zlwk Ydorxu dup'g,",Caesar
"De oeyjub Seojsyu dqn, gejr Fkheen knc'z,",Vigenère
ANPANAKMEXTLEBFCRBXGPDXOPMZMRMRC,Playfair
"NorsediVur,osoe utc a,wt aoramd nIih hl '",Rail Fence
"Va uaavcp Weuzwsc rix, owzr Jilaep ipq'x,",Affine
"Frpshoo'g wkhvh vnlsslqj Nhuqhv wr wuxvw wkhlu khhohv,",Caesar
"Sewluvh'n jraio iuefzedq Uondoo dk dnkcp ddusn rauvai,",Vigenère
HMOLLUTCPDILILEKSVSFYQEFMAILPRZDXLSZPDFKODIULUIL,Playfair
"Cedesp ntr iesopl' hs kpigKre otutterhee,mlteines sh l",Rail Fence
"Saqfcll'x zrcuc ugwffwvm Gcpvcu za zpeuz zrcwp rcclcu,",Affine
"Exw wkh Qruzhbdq Orug, vxuxhblqj ydqwdjh,",Caesar
"Rkd jra Rkhgaokj Pkhn, cqheaosjw rqxpqqa,",Vigenère
CXSZPDGMNMUGBNMQNMBTZMMLBGYQXORQNIIU,Playfair
"BtNe duy t,u h owynLr,sreigvnaeterao unag",Rail Fence
"Nez zrc Vapocyiv Lapx, uepecywvm jivzimc,",Affine
"Zlwk ixuexvkw Duphv, dqg qhz vxssobhv ri phq,",Caesar
"Mydd pqhlqirp Encoo, wdn dos cqfzhooo yb wad,",Vigenère
XGPDEVADXLDPRMCLXBRYMGXQVLQPCGPAEOGM,Playfair
"W btm   ps ,ihfruh re,adnwsple fmntusAsneuyoe",Rail Fence
"Owzr hepneurz Ipqcu, ivx vco uefflycu ah qcv,",Affine
Ehjdq d iuhvk dvvdxow,Caesar
Ruqwd w pnucd koikqbd,Vigenère
CIINARKOILBOXAXBMUSZ,Playfair
Bnfhstea  rs salgaeau,Rail Fence
Ncmiv i hpcur iuuielz,Affine
"Nlqj. Glvpdb'g qrw wklv rxu Fdswdlqhv, Pdfehwk dqg",Caesar
"Ayxc. Tyciqi't jed jrei kkb Mkljkedoo, Cqmxudd kjt",Vigenère
EKYQBKLANBYRRPPDSXMVMDOSSRGAILORHDKLBORY,Playfair
"K.s'ohoCasatnig imydntti u atie,McehadnDa  srpn b ",Rail Fence
"Gwvm. Xwuqiy'x vaz zrwu aep Sifziwvcu, Qisnczr ivx",Affine
Edqtxrk?,Caesar
Rqxmkyd?,Vigenère
IBYWVMBV,Playfair
Buaqo?nh,Rail Fence
Nivkear?,Affine
"Fds. Bhv, dv Vsduurzhv, Hdjohv;",Caesar
"Sqz. Cai, qc Czwhbkmoo, Uqqhuc;",Vigenère
BMQHILBXTQRMMNUGLINIULXA,Playfair
"C , reEea.Ys sSarws alspeapo,g;",Rail Fence
"Sif. Ycu, iu Ufippaocu, Cimlcu;",Affine
"Ru wkh Kduh, wkh Obrq:",Caesar
"Eh pxo Rknu, jra Puex:",Vigenère
NMPDFCRMKLCFQCNA,Playfair
"Oha  nrteHr,teLo:  ehy",Rail Fence
"Ap zrc Ripc, zrc Lyav:",Affine
"Li L vdb vrrwk, L pxvw uhsruw wkhb zhuh",Caesar
"Yv Y cwo oeypx, S ikcp bafynj pxou gaho",Vigenère
KGSXNBPARPBFCMTLMKVHDZPDGCUGMK,Playfair
"I  tIseteefIsysoh  utrpr hywr ao,m ot e",Rail Fence
"Wh W uiy uaazr, W qeuz pcfapz zrcy ocpc",Affine
"Dv Fdqqrqv rxhu-fkduj'g zlwk grxeoh Fudfnv,",Caesar
"Qi Sqxjexo yqub-srwhq't sydd nkklhu Shkyac,",Vigenère
BXBMAWANAQMVKMHYRMKYXGPDHRXCULDMMBIT,Playfair
"Aanucgw bCksCnosoe-hr' ihdul rcs n radtoea,",Rail Fence
"Iu Sivvavu aecp-sripm'x owzr xaenlc Spisgu,",Affine
Vr wkhb grxeob uhgrxeohg vwurdnhv ysrq wkh Irh:,Caesar
Ie pxou nkklho nunkklhun idnekguc lzkd pxo Pya:,Vigenère
PAPDGCHRXCQCMKHRXCULBTZDNREFPXVHRQCFPHIU,Playfair
Shdleb osohoote obyrduldsrae pnteFe yu oetkv  :,Rail Fence
Ua zrcy xaenly pcxaenlcx uzpaigcu jfav zrc Hac:,Affine
"Hafhsw wkhb phdqw wr edwkh lq uhhnlqj Zrxqgv,",Caesar
"Unmafd jrao iukjj pe xqddu ed nuogyxc Akkxzi,",Vigenère
IUELQLPDGCCLRASZPRIBPDFKAMIUFEGAQNMVRYXA,Playfair
"Ephmt hnegu,xette en obtei ekn onsc yata riWd",Rail Fence
"Ctscfz zrcy qcivz za nizrc wv pccgwvm Oaevxu,",Affine
"Ru phprulch dqrwkhu Jrojrwkd,",Caesar
"Eh iuwkhsvu wdypxon Kkbqkjrw,",Vigenère
NMCLONAKUKRARPCFNKMPFNPDBA,Playfair
"OeiahGo,rmmrz nte ogta oeorlh",Rail Fence
"Ap qcqapwdc ivazrcp Malmazri,",Affine
"L fdqqrw whoo: exw L dp idlqw,",Caesar
"Y mwdxkj puvh: xkd S wc bqsjj,",Vigenère
EBRAANSZLKSUSCZLSBOEBSRQ,Playfair
"In lu ft anttl:btIa an,coe  mi",Rail Fence
"W sivvaz zcll: nez W iq hiwvz,",Affine
Pb Jdvkhv fub iru khosh,Caesar
Co Wqcduc sbu pkh duvlu,Vigenère
NCINPBILDMHGNMCFPQIU,Playfair
MasyrlyGse r o ep hcfhe,Rail Fence
Qy Miurcu spy hap rclfc,Affine
"Nlqj. Vr zhoo wkb zrugv ehfrph wkhh, dv wkb zrxqgv,",Caesar
"Ayxc. Ie suvh ddo sebzi xumkco jrau, qc jru gkkxzi,",Vigenère
EKYQPAUGSUPLYBVNDKXILENOKLCFIMTLYBVNWMBT,Playfair
"K. lyrbmh twdig owl h od eoete,a h onsnSetwsc esyu,",Rail Fence
"Gwvm. Ua ocll zry oapxu ncsaqc zrcc, iu zry oaevxu,",Affine
Wkhb vpdfn ri Krqru erwk: Jrh jhw klp Vxujhrqv.,Caesar
Jxou ciqmg yb Lkdyn lkjr: Kku cud xsi Wqhqaexo.,Vigenère
PDGCLAMBFRPFNANMHAPDFNFIKLBFALZMIFNAXA,Playfair
T cfnb:etmrnhysako oo oh o e i ugosem HrtGghSe.,Rail Fence
Zrcy uqisg ah Ravap nazr: Mac mcz rwq Uepmcavu.,Affine
Hqwhu Urvvh dqg Dqjxv.,Caesar
Uddah Hecou wdn Kxckc.,Vigenère
GMLKAZMNXALIRABRYQXL,Playfair
ErsaAsne os n nu.tRedg,Rail Fence
Cvzcp Pauuc ivx Ivmeu.,Affine
Zkr frphv khuh?,Caesar
Mxy syiuc xonu?,Vigenère
VYMHNOILCFMK,Playfair
Wcsrh oe eeomh?,Rail Fence
Ora saqcu rcpc?,Affine
Pdo. Wkh zruwkb Wkdqh ri Urvvh,Caesar
Cqv. Xdu sebpxi Drwdo ep Byoio,Vigenère
ORPLCFVNDZYBPDRAFMKOAPLI,Playfair
M  tTe sa.Tewrh hn fRselhoyaoo,Rail Fence
Qil. Zrc oapzry Zrivc ah Pauuc,Affine
Ohqra. Zkdw d kdvwh orrnhv wkurxjk klv hbhv?,Caesar
Buxkn. Grwj w rwida vkeuai pxbkkqd rei aooo?,Vigenère
ULANZXBOSRBOTLLUAVRFILPDMNWEBVBFLICGXA,Playfair
Lxhaslehgiyeo.Wa  at okstruhhsee?n theo o  s,Rail Fence
Lcvat. Oriz i riuzc laagcu zrpaemr rwu cycu?,Affine
"Vr vkrxog kh orrnh, wkdw vhhphv wr vshdnh wklqjv vwudqjh",Caesar
"Ie oxyqbn xo bykao, ddqd ioacoo dk clukgu pxsjwc idnqxcu",Vigenère
PAPBMVTCCFPMRFKLBOLTIULCILPRTQIMEFPDGAIQTLMRYQIU,Playfair
"Shd kt mtpei aosol eloe htsee osek hnssrne uho,aes atgtg",Rail Fence
"Ua uraelx rc laagc, zriz uccqcu za ufcigc zrwvmu uzpivmc",Affine
Urvvh. Jrg vdxh wkh Nlqj,Caesar
Hecou. Qyz cwko jra Oedq,Vigenère
MNXALIFNBTMXKLCFEKYQ,Playfair
ReoatKos.Gdsu h igs  een,Rail Fence
Pauuc. Max uiec zrc Gwvm,Affine
"Nlqj. Zkhqfh fdp'vw wkrx, zruwkb Wkdqh?",Caesar
"Ayxc. Mxojso ski'cp ddee, gkhddo Jxkju?",Vigenère
EKYQVYGMELBMALSZPDMVVNDZYBPDRAIU,Playfair
"K.e 't,r nig hnecms hu otyTaenWcatowhh?",Rail Fence
"Gwvm. Orcvsc siq'uz zrae, oapzry Zrivc?",Affine
"Urvvh. Iurp Iliih, juhdw Nlqj,",Caesar
"Hecou. Pbkc Vypbu, wbaqd Usjw,",Vigenère
MNXALIKONOGKIVGFKNIMZTGAIW,Playfair
"RerFer gos.Fo if,getKn,s mf ai",Rail Fence
"Pauuc. Hpaq Hwhhc, mpciz Gwvm,",Affine
"Zkhuh wkh Qruzhbdq Edqqhuv iorzw wkh Vnlh,",Caesar
"Mxonu pxo Xynmouqx Lkjdoni bbysj pxo Cueu,",Vigenère
VYKMKLCFANNZGCRAIBAWMGATEPNVSZPDILEKIU,Playfair
"Weeraarl  ehr h owynBnesfotteSi,etNe n whk",Rail Fence
"Orcpc zrc Vapocyiv Nivvcpu hlaoz zrc Ugwc,",Affine
Dqg idqqh rxu shrsoh frog.,Caesar
Qdn vkjdo een zaezhu yevz.,Vigenère
RAHKRAMGMVOTFMQPLEMPBZ,Playfair
Afero dn an u epecl.dnoplo,Rail Fence
Ivx hivvc aep fcaflc salx.,Affine
"Qruzdb klpvhoih, zlwk whuuleoh qxpehuv,",Caesar
"Debsqi xsiiohvo, gejr jonhsxbo deironi,",Vigenère
ANNZNBBFALLUGFXGPDLKAZAKCSGMMCCIAT,Playfair
"Nail hrlurowyhmef,wt erbenmesr seiti b,",Rail Fence
"Vapoiy rwquclhc, owzr zcppwnlc veqncpu,",Affine
"Dvvlvwhg eb wkdw prvw glvorbdoo Wudbwru,",Caesar
"Qiceidat xo pxkp wkid tsobyuqvh Xnqipeb,",Vigenère
BXXSTLKCDBPDRSONTLBKTPNHMSPLMRDQNM,Playfair
"As t tsaTtsitdb htms ilyl ryo,seyaodolar",Rail Fence
"Iuuwuzcx ny zriz qauz xwulayill Zpiyzap,",Affine
"Wkh Wkdqh ri Fdzgru, ehjdq d glvpdoo Frqiolfw,",Caesar
"Jxo Drwdo ep Mkstyn, xuqwd w neiwwbv Myjvvesd,",Vigenère
PDKLBOMGHPBMZYNMCIINARBKLAMSUENAEPEBSZ,Playfair
"TTe d a m fth hn fCwo,bgnadsalCnlc,eaoare iloi",Rail Fence
"Zrc Zrivc ah Sioxap, ncmiv i xwuqill Savhlwsz,",Affine
"Wloo wkdw Ehoorqd'v Eulghjurrph, odsw lq surrih,",Caesar
"Jyvh ddqd Lohbyjq'o Fnynawbkewa, hqzp sj zneybu,",Vigenère
